id,gender,name,original_name,known_for_department
238513,2,Paul Waaktaar-Savoy,Paul Waaktaar-Savoy,Acting
238511,2,Magne Furuholmen,Magne Furuholmen,Acting
3638804,1,Clara Gostynski,Clara Gostynski,Acting
3791479,0,Alexei Evstratov,Alexei Evstratov,Acting
3791494,1,Monika Stalder,Monika Stalder,Acting
3791490,0,Hélio Thiémard,Hélio Thiémard,Acting
3791484,1,Li Tavor,Li Tavor,Acting
50293,1,Henriette Confurius,Henriette Confurius,Acting
1463229,1,Liliane Amuat,Liliane Amuat,Acting
54948,1,Ursina Lardi,Ursina Lardi,Acting
1583269,2,Flurin Giger,Flurin Giger,Acting
1846,2,André Hennicke,André Hennicke,Acting
1285450,2,Franz Rogowski,Franz Rogowski,Acting
40526,2,Georg Friedrich,Georg Friedrich,Acting
1576708,2,Anton von Lucke,Anton von Lucke,Acting
1784461,2,Thomas Prenn,Thomas Prenn,Acting
1294450,2,Thomas Stecher,Thomas Stecher,Acting
2978947,0,Yu Duong,Yu Duong,Acting
1595665,1,Thi Kieu Trinh Nguyen,Thi Kieu Trinh Nguyen,Acting
2842928,0,Mai Bích Trâm,Mai Bích Trâm,Acting
2978945,0,Xuân Hiệp,Xuân Hiệp,Acting
2978946,0,Neko Bao Tien,Neko Bao Tien,Acting
2296513,0,Khả Như,Khả Như,Acting
3397335,0,Mạc Can,Mạc Can,Acting
1043250,1,Vân Trang,Vân Trang,Acting
3397341,2,Huỳnh Thanh Trực,Huỳnh Thanh Trực,Acting
3397342,1,Lê Bê La,Lê Bê La,Acting
1450858,1,Lam Thanh My,Lam Thanh My,Acting
2413141,2,Ngô Quang Tuấn,Ngô Quang Tuấn,Acting
2301772,1,Mai Cat Vi,Mai Cat Vi,Acting
1878202,1,Diệu Nhi,Diệu Nhi,Acting
4467117,0,Má Thị Di,Má Thị Di,Acting
4467118,0,Châu Thị Xay,Châu Thị Xay,Acting
4467119,0,Má A Pho,Má A Pho,Acting
4467120,0,Má Thị La,Má Thị La,Acting
4467121,0,Má A Cớ,Má A Cớ,Acting
1421792,2,Noël Czuczor,Noël Czuczor,Acting
2692286,2,Peter Ondrejička,Peter Ondrejička,Acting
10727,2,John Hannah,John Hannah,Acting
553063,2,Wojciech Mecwaldowski,Wojciech Mecwaldowski,Acting
1573859,2,Jacek Beler,Jacek Beler,Acting
2992499,0,Oliko Barbakadze,Oliko Barbakadze,Acting
2992500,0,Giorgi Ambroladze,Giorgi Ambroladze,Acting
2973356,1,Ani Karseladze,Ani Karseladze,Acting
1762877,2,Giorgi Bochorishvili,Giorgi Bochorishvili,Acting
2992501,0,Sofio Chanishvili,Sofio Chanishvili,Acting
2143522,1,Pavlína Balner,Pavlína Skružná,Acting
1247355,2,Matouš Ruml,Matouš Ruml,Acting
544276,2,Martin Stránský,Martin Stránský,Acting
83878,1,Barbora Hrzánová,Barbora Hrzánová,Acting
97192,1,Martha Issová,Martha Issová,Acting
96381,2,Ivan Trojan,Ivan Trojan,Acting
30737,2,Bolek Polívka,Bolek Polívka,Acting
97193,1,Eva Holubová,Eva Holubová,Acting
229680,1,Ivana Chýlková,Ivana Chýlková,Acting
136806,1,Jana Plodková,Jana Plodková,Acting
3111695,0,Zhiny Ooi,Zhiny Ooi,Acting
856126,2,Pete Teo,Pete Teo,Acting
1197916,1,Tan Chui Mui,Tan Chui Mui,Directing
562217,2,Bront Palarae,Bront Palarae,Acting
168165,2,James Lee,James Lee,Directing
2907001,0,Lola Raie,Lola Raie,Acting
554413,1,Alejandra Gollas,Alejandra Gollas,Acting
7572,2,Thom Hoffman,Thom Hoffman,Acting
1346997,2,Bernardo de Paula,Bernardo de Paula,Acting
1305667,2,Dino Andrade,Dino Andrade,Acting
1214551,2,Tyler Bunch,Tyler Bunch,Acting
67940,2,Wayne Grayson,Wayne Grayson,Acting
1137368,1,Alyson Leigh Rosenfeld,Alyson Leigh Rosenfeld,Acting
1960184,2,Billy Bob Thompson,Billy Bob Thompson,Acting
111526,2,Tom Wayland,Tom Wayland,Acting
3192676,1,Oksana Cherkashyna,Oksana Cherkashyna,Acting
3218149,2,Serhii Shadrin,Serhii Shadrin,Acting
1624799,2,Oleh Scherbyna,Oleh Scherbyna,Acting
3487349,2,Oleh Shevchuk,Oleh Shevchuk,Acting
3487350,2,Artur Aramyan,Artur Aramyan,Acting
2595502,2,Vachirawit Chivaaree,วชิรวิชญ์ ชีวอารี,Acting
2595500,2,Metawin Opas-iamkajorn,วิน เมธวิน โอภาสเอี่ยมขจร,Acting
2073908,2,Sattabut Laedeke,สัตบุตร แลดิกี,Acting
2073909,2,Thanatsaran Samthonglai,ธนัตถ์ศรันย์ ซำทองไหล,Acting
2653295,2,Chinnarat Siriphongchawalit,ชินรัฐ สิริพงษ์ชวลิต,Acting
2424462,1,Panisara Rikulsurakan,ปาณิสรา ริกุลสุรกาน,Acting
2162309,1,Praewa Suthamphong,แพรวา สุธรรมพงษ์,Acting
3246083,1,Nattamon Chokejindachai,Nattamon Chokejindachai,Acting
2668035,2,Thamrong Cunpisut,Thamrong Cunpisut,Acting
3606502,0,Isariya Chanopala,Isariya Chanopala,Acting
1872288,2,Korapat Kirdpan,กรภัทร์ เกิดพันธุ์,Acting
2131509,1,Cherprang Areekul,เฌอปราง อารีย์กุล,Acting
2430105,2,Sadanont Durongkhaweroj,ศดานนท์ ดุรงคเวโรจน์,Acting
