MovieId,Name,production_country,tw_first_release_date
19468,007 生死交戰,美國,2021-09-29 00:00:00
19150,尚氣與十環傳奇,美國,2021-09-02 00:00:00
22676,黑亞當,美國,2022-10-19 00:00:00
20810,小小兵2:格魯的崛起,美國,2022-07-01 00:00:00
20587,蝙蝠俠,美國,2022-03-03 00:00:00
20863,怪獸與鄧不利多的秘密,美國,2022-04-14 00:00:00
21777,子彈列車,美國,2022-08-03 00:00:00
20539,秘境探險,美國,2022-02-17 00:00:00
18984,脫稿玩家,美國,2021-08-12 00:00:00
20828,媽的多重宇宙,美國,2022-04-22 00:00:00
20215,駭客任務：復活,美國,2021-12-22 00:00:00
20484,月球隕落,美國,2022-02-03 00:00:00
19984,惡靈古堡首部曲：拉昆市,美國,2021-11-26 00:00:00
20786,魔比斯,美國,2022-04-01 00:00:00
18891,黑寡婦,美國,2021-07-14 00:00:00
21422,巴斯光年(英文版),美國,2022-06-17 00:00:00
20470,尼羅河謀殺案,美國,2022-02-11 00:00:00
20050,魔法滿屋,美國,2021-11-26 00:00:00
22373,微笑,美國,2022-09-30 00:00:00
20210,歡樂好聲音 2,美國,2022-01-28 00:00:00
20748,失落謎城,美國,2022-04-08 00:00:00
21742,雷神索爾：愛與雷霆,美國,2022-07-06 00:00:00
20580,劫命救護,美國,2022-03-25 00:00:00
21821,孤兒怨2：最黑暗的過去,美國,2022-08-26 00:00:00
20212,GUCCI：豪門謀殺案,美國,2022-01-07 00:00:00
20635,壞蛋聯盟,美國,2022-03-18 00:00:00
18983,汪汪隊立大功電影版,美國,2021-09-17 00:00:00
22355,幸福入場券,美國,2022-10-07 00:00:00
20820,音速小子 2,美國,2022-04-01 00:00:00
22663,五星饗魘,美國,2022-12-02 00:00:00
18759,厲陰宅3：是惡魔逼我的,美國,2021-07-22 00:00:00
22416,阿凡達 (A版),美國,2022-09-23 00:00:00
21896,不!,美國,2022-08-12 00:00:00
21837,DC超級寵物軍團(英文版),美國,2022-08-09 00:00:00
18014,捍衛救援,美國,2021-01-20 00:00:00
18846,路卡的夏天,美國,2021-08-06 00:00:00
19955,魔鬼剋星：未來世,美國,2021-12-31 00:00:00
20403,夜路,美國,2022-01-28 00:00:00
21582,貓王艾維斯,美國,2022-06-23 00:00:00
19688,法蘭西特派週報,美國,2021-12-10 00:00:00
18925,寶貝老闆：家大業大,美國,2021-10-08 00:00:00
22337,墜,美國,2022-09-16 00:00:00
18816,殺手保鑣2,美國,2021-10-08 00:00:00
23155,決戰38度線,美國,2022-12-02 00:00:00
20582,黑光行動,美國,2022-02-25 00:00:00
18866,密弒遊戲2：勝者危亡,美國,2021-09-17 00:00:00
19161,疾厄,美國,2021-09-02 00:00:00
22879,鬼禱,美國,2022-10-28 00:00:00
20241,闇黑電話,美國,2022-07-01 00:00:00
20925,超吉任務,美國,2022-04-22 00:00:00
7858,以你的名字呼喚我,美國,2018-01-12 00:00:00
20104,哈利波特：神秘的魔法石,美國,2001-11-16 00:00:00
18958,暫時停止呼吸2,美國,2021-08-20 00:00:00
18824,疾凍救援,美國,2021-09-24 00:00:00
23153,暴戾夜,美國,2022-12-02 00:00:00
20294,355：諜影特攻,美國,2022-01-19 00:00:00
19817,天兵阿榮,美國,2021-10-29 00:00:00
23138,奇異冒險 (英文版),美國,2022-11-25 00:00:00
20240,驚聲尖叫,美國,2022-01-14 00:00:00
19964,迷離夜蘇活,美國,2021-11-12 00:00:00
19786,王者理查,美國,2021-11-18 00:00:00
21867,沼澤謀殺案,美國,2022-10-07 00:00:00
22530,阿姆斯特丹,美國,2022-10-07 00:00:00
19308,月光光新慌慌：萬聖殺,美國,2021-10-22 00:00:00
18430,夢想之地,美國,2021-04-23 00:00:00
20137,阿達一族 2,美國,2021-12-30 00:00:00
22195,拉辛正傳,美國,2022-09-08 00:00:00
19919,大紅狗克里弗,美國,2021-12-10 00:00:00
22245,別擔心親愛的,美國,2022-09-16 00:00:00
20982,記憶殺神,美國,2022-04-29 00:00:00
22652,月光光新慌慌：萬聖結,美國,2022-10-14 00:00:00
19783,史賓賽,美國,2021-11-05 00:00:00
23144,鞋貓劍客 2,美國,2022-09-23 00:00:00
22924,骨肉的總和,美國,2022-11-24 00:00:00
22115,三千年的渴望,美國,2022-09-02 00:00:00
22476,哥兒們,美國,2022-10-19 00:00:00
19657,鹿魔,美國,2021-11-12 00:00:00
19539,最後的決鬥,美國,2021-10-15 00:00:00
22242,看你往哪跑,美國,2022-09-16 00:00:00
20362,西城故事,美國,2022-01-21 00:00:00
21942,獸,美國,2022-08-19 00:00:00
22328,捍衛戰士,美國,2022-09-18 00:00:00
21719,喜悅：達賴喇嘛遇見屠圖主教,美國,2022-07-22 00:00:00
20459,娶我吧!,美國,2022-02-11 00:00:00
22116,世紀婚魘,美國,2022-09-02 00:00:00
21930,天黑請斃命,美國,2022-08-19 00:00:00
9023,2001太空漫遊,美國,2018-06-04 00:00:00
20394,王牌冤家,美國,2022-02-11 00:00:00
22397,毛骨悚然：惡魔重生,美國,2022-09-23 00:00:00
20356,死間行動,美國,2022-04-29 00:00:00
22308,刀鋒劍客(英語版),美國,2022-09-30 00:00:00
9986,鬼店,美國,2018-09-28 00:00:00
20770,救命緝約,美國,2022-03-25 00:00:00
23321,與你共舞,美國,2022-12-30 00:00:00
22222,蜘蛛人：無家日 戲院加長版,美國,2022-09-02 00:00:00
23084,她有話要說,美國,2022-11-18 00:00:00
19659,達賴的一生,美國,2022-07-08 00:00:00
22651,天劫高手,美國,2022-10-14 00:00:00
20659,絕命通話,美國,2022-03-11 00:00:00
17499,說不出的告別,美國,2020-11-27 00:00:00
20660,貝爾法斯特,美國,2022-03-11 00:00:00
20235,黑特冤家,美國,2022-02-11 00:00:00
22679,驚爆倒數60分鐘,美國,2022-10-14 00:00:00
20363,看不見的殺機,美國,2022-01-07 00:00:00
22963,絕命線阱,美國,2022-11-04 00:00:00
21033,驅神,美國,2022-07-08 00:00:00
20528,逍遙上路,美國,2022-02-18 00:00:00
6252,八月三十一日，我在奧斯陸,美國,2013-05-31 00:00:00
23128,俠探特攻：全面追緝,美國,2022-11-25 00:00:00
20554,終極堡壘,美國,2022-03-18 00:00:00
20472,終極攻佔,美國,2022-02-04 00:00:00
18735,金甲部隊,美國,2022-08-26 00:00:00
19690,地球重生,美國,2022-02-11 00:00:00
18693,獵殺戰場,美國,2022-03-18 00:00:00
19241,生命理賠師,美國,2022-03-04 00:00:00
23286,俠探特攻：贖罪行動,美國,2022-12-09 00:00:00
20848,玩命獵殺,美國,2022-04-08 00:00:00
20143,完美的敵人,美國,2022-02-18 00:00:00
21306,大開眼戒,美國,2022-09-08 00:00:00
21388,午後彌撒 ,美國,2022-06-17 00:00:00
20211,危城行動,美國,2022-01-07 00:00:00
20713,劫獄救援,美國,2022-03-18 00:00:00
20861,終極交戰,美國,2022-09-08 00:00:00
18707,齊瓦哥醫生,美國,2022-10-05 00:00:00
20681,全面掃蕩,美國,2022-03-18 00:00:00
23311,朝聖之路：聖雅各,美國,2022-12-23 00:00:00
20561,詭謎藏,美國,2022-04-01 00:00:00
21802,殺戮基地,美國,2022-07-29 00:00:00
19475,爽賺姐妹,美國,2021-10-22 00:00:00
20458,情聖西哈諾,美國,2022-02-25 00:00:00
19601,四個好日子,美國,2021-10-08 00:00:00
20736,心碎效應,美國,2022-09-23 00:00:00
19921,蘿莉塔,美國,2022-06-17 00:00:00
21116,探戈行不行,美國,2022-08-26 00:00:00
20930,終極夜路,美國,2022-06-02 00:00:00
20809,終極包圍戰,美國,2022-04-08 00:00:00
20560,通靈女校,美國,2022-03-04 00:00:00
21180,進擊的地才,美國,2022-06-03 00:00:00
20735,投機者樂團：愛的鼓勵,美國,2022-04-08 00:00:00
20217,終極狩獵團,美國,2022-01-14 00:00:00
20992,公共圖書館員,美國,2022-05-20 00:00:00
20761,盜夢睡務員,美國,2022-03-25 00:00:00
21172,最後的生存者,美國,2022-05-20 00:00:00
23014,鱷魚歌王,美國,2022-11-04 00:00:00
22714,終極堡壘2,美國,2022-10-21 00:00:00
20486,BJ單身日記,美國,2022-02-11 00:00:00
19318,美國舞孃,美國,2022-07-01 00:00:00
19383,異類崛起,美國,2021-09-24 00:00:00
20384,魔境夢遊,美國,2021-06-18 00:00:00
20192,殲獄行動,美國,2021-12-24 00:00:00
22959,貓爸爸們,美國,2022-11-25 00:00:00
21035,超級救援狗,美國,2023-12-15 00:00:00
20605,藝術恐怖份子 班克斯,美國,2022-03-25 00:00:00
21038,深海獵奇,美國,2022-05-14 00:00:00
20714,圓滾滾藝術家-費爾南多·波特羅,美國,2022-03-25 00:00:00
21040,馬達加斯加：狐猴之島,美國,2022-05-14 00:00:00
21039,最後的冰川,美國,2022-05-14 00:00:00
17975,不可侵犯：溫斯坦性醜聞,美國,2022-01-07 00:00:00
14586,為所應為,美國,2022-10-24 00:00:00
21041,哈勃望遠鏡,美國,2022-05-14 00:00:00
21036,小行星獵人,美國,2023-12-15 00:00:00
21037,回歸野性,美國,2022-05-14 00:00:00
23288,海底世界(國語版),美國,2022-12-05 00:00:00
23287,大熊貓(國語版),美國,2022-12-01 00:00:00
23217,高原上的家屋,玻利維亞,2022-12-16 00:00:00
1691,地下社會,南斯拉夫,2015-05-15 00:00:00
18745,鬼保母,俄羅斯,2022-01-07 00:00:00
20692,絕命第19排,俄羅斯,2022-03-11 00:00:00
19136,致命最前線,俄羅斯,2022-01-14 00:00:00
21173,逃出封鎖線,俄羅斯,2022-05-20 00:00:00
18792,心悸效應,俄羅斯,2021-09-10 00:00:00
22404,大尉叛逃記,俄羅斯,2022-10-21 00:00:00
22524,獵空計畫,俄羅斯,2022-11-04 00:00:00
20568,核爆車諾比,俄羅斯,2022-04-22 00:00:00
5643,鏡子,俄羅斯,2017-06-19 00:00:00
5666,潛行者,俄羅斯,2017-06-26 00:00:00
21155,月影歸途,阿根廷,2022-05-20 00:00:00
21221,鬼雙胞,芬蘭,2022-05-20 00:00:00
20414,反恐行動：獨立日,芬蘭,2022-02-18 00:00:00
21380,當女孩戀愛時,芬蘭,2022-07-22 00:00:00
21163,孵魔,芬蘭,2022-05-20 00:00:00
21706,朵貝的愛情繪本,芬蘭,2022-07-15 00:00:00
21536,不看鐵達尼號的男人,芬蘭,2022-06-24 00:00:00
21528,拜金女王的性愛派對,波蘭,2022-06-24 00:00:00
20457,機遇之歌：數位修復版,波蘭,2022-08-28 00:00:00
21888,大獲拳勝,波蘭,2022-08-26 00:00:00
21365,永遠的一天,法國,2022-06-02 00:00:00
21363,鸛鳥踟躕,法國,2022-06-01 00:00:00
15103,燃燒女子的畫像,法國,2019-12-20 00:00:00
21920,蝙狐俠：英雄覺醒,法國,2022-08-26 00:00:00
19696,天才貓奴畫家,法國,2021-12-03 00:00:00
20184,黑盒線索,法國,2022-02-18 00:00:00
19894,鈦,法國,2021-12-24 00:00:00
21995,正發生,法國,2022-09-30 00:00:00
2813,藍色情挑 經典數位修復,法國,2016-07-22 00:00:00
22349,死噬,法國,2022-09-23 00:00:00
2815,紅色情深 經典數位修復,法國,2016-07-22 00:00:00
2814,白色情迷 經典數位修復,法國,2016-07-22 00:00:00
20489,今敏：造夢魔術師,法國,2022-03-18 00:00:00
22243,小獅子王,法國,2022-09-30 00:00:00
20943,親愛的童伴,法國,2022-05-13 00:00:00
20873,友你才精彩,法國,2022-04-15 00:00:00
22183,拆彈倒數30分鐘,法國,2022-09-23 00:00:00
21809,席琳狄翁外傳：愛的力量,法國,2022-07-29 00:00:00
20530,艾菲爾情緣,法國,2022-02-11 00:00:00
21717,失業風暴,法國,2022-07-15 00:00:00
21019,好好說再見,法國,2022-05-27 00:00:00
21514,一屍到底：法屍浪漫,法國,2022-06-17 00:00:00
20454,最後一件晚禮服的秘密,法國,2022-02-04 00:00:00
21863,就在今夜,法國,2022-07-29 00:00:00
3350,玩命光頭,法國,2016-11-04 00:00:00
20300,柏格曼的島,法國,2021-12-25 00:00:00
20485,巴黎夢想家,法國,2022-03-04 00:00:00
20364,天堂計劃,法國,2022-01-07 00:00:00
21046,失速母親,法國,2022-06-02 00:00:00
19858,密室譯戰,法國,2022-02-25 00:00:00
19952,尋子風暴,法國,2022-04-15 00:00:00
20399,我的神秘狼朋友,法國,2022-01-21 00:00:00
21866,春日小戀曲,法國,2022-08-12 00:00:00
21810,降臨節日曆,法國,2022-08-12 00:00:00
2224,雙面薇若妮卡 經典數位修復,法國,2016-07-16 00:00:00
21796,烈火少女（英文版）,法國,2022-07-23 00:00:00
21311,來自巴黎的情書,法國,2022-05-27 00:00:00
22356,消失的達文西,法國,2022-09-23 00:00:00
10963,全面開戰,法國,2018-12-02 00:00:00
4575,四百擊,法國,2016-12-23 00:00:00
21824,一萬個叢林夜,法國,2022-08-12 00:00:00
21862,瑪歌皇后 數位修復版,法國,2022-10-14 00:00:00
22741,書情話慾,法國,2022-11-18 00:00:00
23265,有你就是家,法國,2022-12-16 00:00:00
6630,斷了氣,法國,2017-10-23 00:00:00
21440,越界分身,法國,2022-06-24 00:00:00
20395,情慾告白,法國,2022-01-21 00:00:00
19093,破碎的琴鍵,法國,2021-11-26 00:00:00
20136,夏日之戀,法國,2021-12-12 00:00:00
10331,影像之書,法國,2018-12-14 00:00:00
19731,仰望星空的少年,法國,2021-12-03 00:00:00
20406,豪門媳婦日記,法國,2022-01-14 00:00:00
20963,藍色是最溫暖的顏色,法國,2022-05-27 00:00:00
20169,最後地下鐵,法國,2016-12-23 00:00:00
20124,喀布爾之燕,法國,2022-08-05 00:00:00
20862,屠女養成記,法國,2022-04-15 00:00:00
20177,幸福知音,法國,2022-02-11 00:00:00
23375,美好的早晨,法國,2022-12-30 00:00:00
20712,安妮詩快跑,法國,2022-05-20 00:00:00
22650,真實世界,法國,2022-10-14 00:00:00
4469,阿爾發城,法國,2016-12-05 00:00:00
22740,抓狂養老院,法國,2022-11-11 00:00:00
19224,狂人皮耶洛,法國,1965-11-05 00:00:00
22173,她和她的小主廚們,法國,2022-09-16 00:00:00
22756,賴活,法國,2022-10-26 00:00:00
23275,芳名卡門,法國,2022-12-16 00:00:00
23274,我所知道她的二三事,法國,2022-12-16 00:00:00
23386,男性，女性,法國,2022-12-16 00:00:00
20451,執愛不悔,法國,2022-02-18 00:00:00
21993,夜色中的她,法國,2022-08-26 00:00:00
20803,破膽三次,法國,2022-04-15 00:00:00
22901,索蘭琪的少女心事,法國,2022-11-04 00:00:00
17254,追憶似水年華 數位修復版,法國,2022-05-28 00:00:00
21355,往事追憶錄,法國,2022-05-28 00:00:00
21356,蓋爾芒特家情事,法國,2022-06-01 00:00:00
938,衡量一個人,法國,2015-11-20 00:00:00
21660,一路上有妳,法國,2022-07-01 00:00:00
20928,築愛巴黎,法國,2022-04-15 00:00:00
21360,塞瑟島之旅,希臘,2022-05-29 00:00:00
21366,希臘二部曲：時光灰燼,希臘,2022-05-28 00:00:00
21359,獵人,希臘,2022-05-28 00:00:00
21364,尤里西斯生命之旅,希臘,2022-06-03 00:00:00
21361,養蜂人,希臘,2022-05-30 00:00:00
21362,霧中風景,希臘,2022-06-03 00:00:00
19922,夢想裁縫師,希臘,2021-12-17 00:00:00
21357,三六年的歲月,希臘,2022-05-29 00:00:00
