MovieId,Year,Amount,Tickets,TotalAmount,TotalTickets,Rate,TheaterCount,Created_time,updated_time,start_date,end_date
21858,2022,265920.0,1103.0,9300986.0,38193.0,-0.7342333474,42.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-08-15,2022-08-21
21858,2022,76577.0,314.0,9377563.0,38507.0,-0.7120299338,14.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-08-22,2022-08-28
21858,2022,12910.0,54.0,9390473.0,38561.0,-0.8314115204,2.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-08-29,2022-09-04
21858,2022,6499.0,28.0,9396972.0,38589.0,-0.4965917893,2.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-09-05,2022-09-11
21858,2022,0.0,0.0,9396972.0,38589.0,-1.0,1.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-09-12,2022-09-18
22473,2022,3154777.0,13339.0,3154777.0,13339.0,0.0,65.0,2025-01-31 14:03:39.511,2025-01-31 14:03:39.512,2022-09-26,2022-10-02
22473,2022,3431531.0,14608.0,6586308.0,27947.0,0.0877253765,65.0,2025-01-31 14:03:39.511,2025-01-31 14:03:39.512,2022-10-03,2022-10-09
22473,2022,1634527.0,6886.0,8220835.0,34833.0,-0.5236741268,65.0,2025-01-31 14:03:39.511,2025-01-31 14:03:39.512,2022-10-10,2022-10-16
22473,2022,326982.0,1399.0,8547817.0,36232.0,-0.7999531363,58.0,2025-01-31 14:03:39.511,2025-01-31 14:03:39.512,2022-10-17,2022-10-23
22473,2022,79543.0,332.0,8627360.0,36564.0,-0.7567358448,28.0,2025-01-31 14:03:39.511,2025-01-31 14:03:39.512,2022-10-24,2022-10-30
22473,2022,4010.0,17.0,8631370.0,36581.0,-0.9495870158,4.0,2025-01-31 14:03:39.511,2025-01-31 14:03:39.512,2022-10-31,2022-11-06
22113,2022,3117510.0,12946.0,3117510.0,12946.0,0.0,79.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-08-22,2022-08-28
22113,2022,3354376.0,13962.0,6471886.0,26908.0,0.075979227,79.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-08-29,2022-09-04
22113,2022,1118332.0,4690.0,7590218.0,31598.0,-0.6666050556,79.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-09-05,2022-09-11
22113,2022,402070.0,1679.0,7992288.0,33277.0,-0.6404734909,65.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-09-12,2022-09-18
22113,2022,132132.0,567.0,8124420.0,33844.0,-0.6713706569,27.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-09-19,2022-09-25
22113,2022,40811.0,182.0,8165231.0,34026.0,-0.6911346230000001,13.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-09-26,2022-10-02
22113,2022,4235.0,19.0,8169466.0,34045.0,-0.8962289579,6.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-10-03,2022-10-09
22113,2022,1190.0,5.0,8170656.0,34050.0,-0.7190082645,1.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-10-10,2022-10-16
22113,2022,5120.0,32.0,8175776.0,34082.0,0.0,1.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-11-07,2022-11-13
22113,2022,20000.0,142.0,8195776.0,34224.0,2.90625,2.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-11-14,2022-11-20
22113,2022,33875.0,356.0,8229651.0,34580.0,0.6937500000000001,4.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-11-21,2022-11-27
22113,2022,33961.0,395.0,8263612.0,34975.0,0.0025387454,5.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-11-28,2022-12-04
22113,2022,9435.0,109.0,8273047.0,35084.0,-0.7221813256,3.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-12-05,2022-12-11
22113,2022,1570.0,13.0,8274617.0,35097.0,-0.8335983042,1.0,2025-01-31 14:03:39.525,2025-01-31 14:03:39.525,2022-12-12,2022-12-18
22239,2022,2835303.0,11343.0,2835303.0,11343.0,0.0,24.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-09-05,2022-09-11
