Year,MovieId,Name,id,imdb_id,origin_country_first,runtime,budget,revenue
2022,22355,幸福入場券,800939,tt14109724,US,104,20000000,168800000
2022,20820,音速小子 2,675353,tt12412888,US,125,110000000,405421518
2022,22663,五星饗魘,593643,tt9764362,US,107,35000000,79628200
2022,18759,厲陰宅3：是惡魔逼我的,423108,tt7069210,US,111,39000000,206431050
2022,22416,阿凡達 (A版),19995,tt0499549,US,162,237000000,2923706026
2022,21837,DC超級寵物軍團(英文版),539681,tt8912936,US,105,90000000,203000000
2022,18014,捍衛救援,634528,tt6902332,US,107,23000000,23076711
2022,18846,路卡的夏天,508943,tt12801262,US,95,200000000,51074773
2022,20403,夜路,597208,tt7740496,US,150,60000000,39629195
2022,19688,法蘭西特派週報,542178,tt8847712,US,103,25000000,46333545
2022,18925,寶貝老闆：家大業大,459151,tt6932874,US,107,82000000,146745280
2022,22337,墜,985939,tt15325794,US,102,3000000,17363261
2022,18816,殺手保鑣2,522931,tt8385148,US,99,70000000,70060492
2022,23155,決戰38度線,653851,tt7693316,US,139,90000000,20000000
2022,20582,黑光行動,823625,tt14060094,AU,104,43000000,15902207
2022,18866,密弒遊戲2：勝者危亡,585216,tt9844522,US,88,15000000,65774490
2022,19161,疾厄,619778,tt3811906,US,111,40000000,34891791
2022,22879,鬼禱,676547,tt9271672,US,93,0,37655699
2022,20241,闇黑電話,756999,tt7144666,US,103,16000000,161440742
2022,20925,超吉任務,648579,tt11291274,US,107,30000000,29116320
2022,7858,以你的名字呼喚我,398818,tt5726616,US,132,3500000,43143046
2022,7858,以你的名字呼喚我,398818,tt5726616,US,132,3500000,43143046
2022,20104,哈利波特：神秘的魔法石,671,tt0241527,GB,152,125000000,976475550
2022,18958,暫時停止呼吸2,482373,tt6246322,US,98,15000000,53785551
2022,18824,疾凍救援,646207,tt3758814,CA,109,0,7502846
2022,23153,暴戾夜,899112,tt12003946,US,111,20000000,75734910
2022,20294,355：諜影特攻,522016,tt8356942,US,122,75000000,55700000
2022,19817,天兵阿榮,482321,tt7504818,US,107,0,60692022
2022,23138,奇異冒險 (英文版),877269,tt10298840,US,102,180000000,73621640
2022,20240,驚聲尖叫,646385,tt11245972,US,114,24000000,137743924
2022,19964,迷離夜蘇活,576845,tt9639470,GB,117,43000000,22957625
2022,19786,王者理查,614917,tt9620288,US,138,50000000,39400000
2022,21867,沼澤謀殺案,682507,tt9411972,US,126,24000000,144353965
2022,22530,阿姆斯特丹,664469,tt10304142,US,134,80000000,31245810
2022,19308,月光光新慌慌：萬聖殺,610253,tt10665338,US,105,20000000,133423964
2022,18430,夢想之地,615643,tt10633456,US,115,2000000,12900000
2022,20137,阿達一族 2,639721,tt11125620,US,93,0,119815153
2022,22195,拉辛正傳,601635,tt10028196,IN,164,23000000,16000000
2022,19919,大紅狗克里弗,585245,tt2397461,US,96,64000000,107347356
2022,22245,別擔心親愛的,619730,tt10731256,US,123,35000000,86700000
2022,20982,記憶殺神,818397,tt11827628,US,153,30000000,13900000
2022,22652,月光光新慌慌：萬聖結,616820,tt10665342,US,111,20000000,104374176
2022,19783,史賓賽,716612,tt12536294,GB,116,18000000,14000000
2022,23144,鞋貓劍客 2,315162,tt3915174,US,103,90000000,484700000
2022,22924,骨肉的總和,791177,tt10168670,US,130,16000000,15234907
2022,22115,三千年的渴望,556694,tt9198364,AU,108,60000000,20300000
2022,22476,哥兒們,614939,tt9731598,US,115,22000000,14800000
2022,19657,鹿魔,516329,tt7740510,CA,99,17000000,18867659
2022,19539,最後的決鬥,617653,tt4244994,US,152,100000000,30552111
2022,22242,看你往哪跑,766475,tt13640696,GB,99,40000000,21921551
2022,20362,西城故事,511809,tt3581652,US,156,100000000,76016171
2022,21942,獸,760741,tt13223398,US,92,0,56000000
2022,22328,捍衛戰士,744,tt0092099,US,110,15000000,356830601
2022,21719,喜悅：達賴喇嘛遇見屠圖主教,836723,tt14779306,US,85,0,0
2022,22116,世紀婚魘,830788,tt12873562,US,105,10000000,33628000
2022,21930,天黑請斃命,520023,tt8110652,US,94,3000000,13900000
2022,9023,2001太空漫遊,62,tt0062622,US,141,12000000,71923560
2022,20394,王牌冤家,38,tt0338013,US,108,20000000,72258126
2022,22397,毛骨悚然：惡魔重生,717728,tt14121726,US,88,5000000,6175213
2022,20356,死間行動,661231,tt1879016,GB,128,0,0
2022,22308,刀鋒劍客(英語版),366672,tt4428398,US,98,45000000,42500000
2022,9986,鬼店,694,tt0081505,US,119,19000000,44781695
2022,20770,救命緝約,628900,tt10323676,US,103,0,2122288
2022,23321,與你共舞,696157,tt12193804,US,144,50000000,59800000
2022,23084,她有話要說,837881,tt11198810,US,129,32000000,13900000
2022,19659,達賴的一生,9746,tt0119485,US,134,28000000,5684789
2022,22651,天劫高手,842942,tt9853500,CA,126,0,0
2022,20659,絕命通話,764835,tt13133936,US,84,0,0
2022,17499,說不出的告別,536396,tt8717446,US,97,0,0
2022,20660,貝爾法斯特,777270,tt12789558,GB,98,11000000,49158343
2022,20235,黑特冤家,603661,tt8718158,US,102,0,0
2022,22679,驚爆倒數60分鐘,888195,tt15690300,US,99,0,0
2022,20363,看不見的殺機,825808,tt11209212,CA,92,0,55191
2022,22963,絕命線阱,979924,tt14824590,US,104,0,0
2022,21033,驅神,836225,tt10362566,US,98,1500000,0
2022,20528,逍遙上路,626735,tt11252248,US,101,20000000,84774243
2022,6252,八月三十一日，我在奧斯陸,75233,tt1736633,NO,94,0,1481665
2022,23128,俠探特攻：全面追緝,1024546,tt21435436,US,105,0,95244
