tw_id,reference_year,tw_release_days,reference_year_amount,reference_year_tickets
21388,2022-01-01,49.0,391134,1850
20211,2022-01-01,21.0,380927,1716
20713,2022-01-01,71.0,378003,2116
20861,2022-01-01,21.0,371355,1560
18707,2022-01-01,32.0,364889,1376
20681,2022-01-01,70.0,362265,2046
23311,2022-01-01,9.0,326448,1424
20561,2022-01-01,14.0,321906,1390
21802,2022-01-01,15.0,320209,1390
19475,2022-01-01,35.0,36710,348
20458,2022-01-01,56.0,259262,1247
19601,2022-01-01,34.0,31565,286
20736,2022-01-01,14.0,226695,947
19921,2022-01-01,29.0,209451,910
21116,2022-01-01,63.0,192439,1062
20930,2022-01-01,15.0,192361,858
20809,2022-01-01,14.0,180390,802
20560,2022-01-01,18.0,176815,739
21180,2022-01-01,43.0,164563,975
20735,2022-01-01,26.0,143340,636
20217,2022-01-01,14.0,129734,563
20992,2022-01-01,17.0,129587,584
20761,2022-01-01,16.0,120470,524
21172,2022-01-01,71.0,117730,913
23014,2022-01-01,1.0,114400,500
22714,2022-01-01,14.0,101413,453
20486,2022-01-01,18.0,91649,395
19318,2022-01-01,14.0,90972,460
19383,2022-01-01,41.0,37270,400
20384,2022-01-01,14.0,66947,288
20192,2022-01-01,4.0,4660,18
22959,2022-01-01,14.0,52980,244
21035,2022-01-01,15.0,34575,317
20605,2022-01-01,10.0,26510,123
21038,2022-01-01,12.0,23590,216
20714,2022-01-01,10.0,19865,96
21040,2022-01-01,10.0,16050,148
21039,2022-01-01,10.0,13165,168
17975,2022-01-01,12.0,11270,48
14586,2022-01-01,3.0,11130,78
21041,2022-01-01,6.0,6110,56
21036,2022-01-01,6.0,4090,36
21037,2022-01-01,9.0,3595,37
23288,2022-01-01,3.0,1000,9
23287,2022-01-01,2.0,540,6
23217,2022-01-01,14.0,125763,622
1691,2022-01-01,9.0,44150,194
18745,2022-01-01,48.0,1408299,5895
20692,2022-01-01,20.0,1142788,5095
19136,2022-01-01,57.0,898754,4034
21173,2022-01-01,49.0,424760,1963
18792,2022-01-01,21.0,21760,142
22404,2022-01-01,35.0,164744,824
22524,2022-01-01,22.0,150830,702
20568,2022-01-01,13.0,149808,656
5643,2022-01-01,3.0,30570,153
5666,2022-01-01,3.0,25200,124
21155,2022-01-01,5.0,4762,20
21221,2022-01-01,28.0,534074,2206
20414,2022-01-01,62.0,450008,2086
21380,2022-01-01,50.0,276983,1329
21163,2022-01-01,20.0,166495,694
21706,2022-01-01,30.0,133062,636
21536,2022-01-01,17.0,130153,586
21528,2022-01-01,93.0,1016821,4699
20457,2022-01-01,43.0,683808,3090
21888,2022-01-01,37.0,239756,1263
21365,2022-01-01,3.0,41460,232
21363,2022-01-01,3.0,40860,232
15103,2022-01-01,4.0,3480,16
21920,2022-01-01,28.0,2444063,10331
19696,2022-01-01,50.0,121703,1236
20184,2022-01-01,42.0,1256002,5366
19894,2022-01-01,55.0,934305,4426
21995,2022-01-01,53.0,924281,4082
2813,2022-01-01,2.0,29215,135
22349,2022-01-01,26.0,843038,3515
2815,2022-01-01,2.0,30620,143
2814,2022-01-01,2.0,29150,136
20489,2022-01-01,24.0,614463,2672
22243,2022-01-01,49.0,588892,2607
20943,2022-01-01,43.0,477658,2050
20873,2022-01-01,56.0,472026,2300
22183,2022-01-01,63.0,460111,2479
21809,2022-01-01,28.0,415965,1857
20530,2022-01-01,14.0,398670,1763
21717,2022-01-01,70.0,397574,2141
21019,2022-01-01,69.0,394890,1834
21514,2022-01-01,18.0,388850,1646
20454,2022-01-01,21.0,379255,1759
21863,2022-01-01,52.0,359178,1684
3350,2022-01-01,13.0,113191,458
20300,2022-01-01,29.0,276978,1255
20485,2022-01-01,36.0,318617,1479
20364,2022-01-01,44.0,290913,1421
21046,2022-01-01,61.0,287634,1731
19858,2022-01-01,28.0,269112,1080
19952,2022-01-01,15.0,266625,1235
20399,2022-01-01,81.0,256407,1397
21866,2022-01-01,24.0,226883,1045
21810,2022-01-01,14.0,220189,932
2224,2022-01-01,1.0,16245,78
21796,2022-01-01,16.0,213731,915
21311,2022-01-01,23.0,198253,974
22356,2022-01-01,39.0,197370,935
10963,2022-01-01,6.0,19250,82
4575,2022-01-01,11.0,23365,114
21824,2022-01-01,20.0,181656,856
21862,2022-01-01,18.0,171559,737
22741,2022-01-01,20.0,169241,797
23265,2022-01-01,15.0,140970,687
6630,2022-01-01,3.0,47800,236
21440,2022-01-01,53.0,135375,889
20395,2022-01-01,21.0,130275,583
19093,2022-01-01,14.0,17760,111
20136,2022-01-01,15.0,97015,456
10331,2022-01-01,2.0,31480,158
19731,2022-01-01,3.0,5520,53
20406,2022-01-01,19.0,117089,539
20963,2022-01-01,22.0,110909,456
20169,2022-01-01,18.0,106610,517
20124,2022-01-01,17.0,104758,456
20862,2022-01-01,27.0,102502,487
20177,2022-01-01,56.0,97655,575
23375,2022-01-01,2.0,89198,395
20712,2022-01-01,19.0,73699,327
22650,2022-01-01,25.0,71704,347
4469,2022-01-01,3.0,46840,231
22740,2022-01-01,19.0,64785,277
19224,2022-01-01,3.0,46400,230
22173,2022-01-01,29.0,52035,274
22756,2022-01-01,5.0,51280,291
23275,2022-01-01,3.0,47160,238
23274,2022-01-01,3.0,46280,229
23386,2022-01-01,3.0,46080,230
20451,2022-01-01,14.0,39114,175
21993,2022-01-01,24.0,31479,159
20803,2022-01-01,7.0,31110,130
22901,2022-01-01,11.0,30304,149
17254,2022-01-01,2.0,28020,158
21355,2022-01-01,2.0,27300,158
21356,2022-01-01,2.0,26740,156
938,2022-01-01,1.0,17760,74
21660,2022-01-01,12.0,7780,39
20928,2022-01-01,7.0,5085,22
21360,2022-01-01,3.0,39660,221
21366,2022-01-01,3.0,40700,234
21359,2022-01-01,3.0,41100,231
21364,2022-01-01,3.0,41340,235
21361,2022-01-01,3.0,41860,238
21362,2022-01-01,3.0,41340,233
19922,2022-01-01,46.0,88460,680
21357,2022-01-01,3.0,41760,234
21358,2022-01-01,3.0,41280,232
20579,2022-01-01,29.0,615697,2689
20596,2022-01-01,62.0,591809,2567
20289,2022-01-01,66.0,518421,2388
19857,2022-01-01,13.0,445519,1902
23122,2022-01-01,20.0,246877,1112
23198,2022-01-01,9.0,178610,745
22893,2022-01-01,23.0,167306,696
19205,2022-01-01,7.0,10560,66
18538,2022-01-01,20.0,94052,444
18469,2022-01-01,19.0,81085,388
18737,2022-01-01,20.0,71470,342
20527,2022-01-01,14.0,70252,354
18761,2022-01-01,18.0,53335,260
20941,2022-01-01,7.0,13030,68
23188,2022-01-01,28.0,1072209,3876
21709,2022-01-01,79.0,371605,2224
20903,2022-01-01,25.0,124765,613
23338,2022-01-01,9.0,4649630,18857
21307,2022-01-01,23.0,130877,623
20652,2022-01-01,26.0,306307,1250
20962,2022-01-01,35.0,183693,855
20952,2022-01-01,11.0,40980,195
20191,2022-01-01,21.0,43720,588
20728,2022-01-01,34.0,316110,1494
21021,2022-01-01,31.0,276866,1276
20804,2022-01-01,30.0,245143,1162
20758,2022-01-01,31.0,236773,1113
20632,2022-01-01,28.0,215696,980
21032,2022-01-01,28.0,194736,893
22196,2022-01-01,27.0,184539,885
4035,2022-01-01,4.0,9900,66
20740,2022-01-01,96.0,4077883,18383
20201,2022-01-01,36.0,1045174,4587
21838,2022-01-01,28.0,948838,4000
19092,2022-01-01,14.0,17600,110
20386,2022-01-01,17.0,64490,301
