tmdb_id,tmdb_title,country_name,theater_release,streaming_release
1047003,惡女,台灣,2023-10-27,
1050035,怪物,日本,2023-06-02,
1050035,怪物,台灣,2023-07-07,
1050035,怪物,韓國,2023-11-29,
1050035,怪物,法國,2023-12-27,
1050491,怨泊,日本,2024-07-19,
1050665,一起一起,台灣,2023-02-03,
1050904,踹你死功夫,台灣,2024-05-24,
1050904,踹你死功夫,日本,2024-10-04,
1051896,末世生存者,美國,2024-04-12,2024-05-01
1051896,末世生存者,台灣,2024-12-20,
1051896,末世生存者,韓國,2025-02-13,
1052160,分期付款愛上你,台灣,2024-06-21,
1052433,30日,韓國,2023-10-03,
1053587,24小時賭命倒數,台灣,2023-08-25,
1053600,兩萬種蜜蜂,韓國,2023-12-27,
1053600,兩萬種蜜蜂,日本,2024-01-05,
1053600,兩萬種蜜蜂,法國,2024-02-14,
1053600,兩萬種蜜蜂,台灣,2024-03-08,
1054087,BIG,台灣,2023-12-01,
1056133,劇場版城市獵人：天使之淚,日本,2023-09-08,
1056133,劇場版城市獵人：天使之淚,台灣,2023-10-20,
1056133,劇場版城市獵人：天使之淚,法國,2024-01-24,
1056803,青春豬頭少年不會夢到嬌憐外出妹,日本,2023-06-23,
1056803,青春豬頭少年不會夢到嬌憐外出妹,韓國,2023-08-31,
1056803,青春豬頭少年不會夢到嬌憐外出妹,澳洲,2024-05-06,
1057001,貴公子,台灣,2023-06-21,
1057001,貴公子,韓國,2023-06-21,
1057001,貴公子,美國,2023-06-30,
1058078,萬聖劫,台灣,2023-10-27,
1058616,戰場日記,韓國,2024-11-06,
1059572,新次元！蠟筆小新電影超能力大決戰～飛吧！手卷壽司～,台灣,2023-08-04,
1059572,新次元！蠟筆小新電影超能力大決戰～飛吧！手卷壽司～,日本,2023-08-04,
1059572,新次元！蠟筆小新電影超能力大決戰～飛吧！手卷壽司～,韓國,2023-12-22,
1061648,腹荷,台灣,2023-08-11,
1061648,腹荷,法國,2024-01-31,
1061855,飛鳥總動員,法國,2023-04-12,
1061855,飛鳥總動員,澳洲,2024-04-04,
1061855,飛鳥總動員,韓國,2024-05-01,
1061855,飛鳥總動員,台灣,2024-10-04,
1062844,銀河鐵道之父,日本,2023-05-05,
1062844,銀河鐵道之父,台灣,2023-08-04,
1062910,波紋,日本,2023-05-26,2023-11-26
1062910,波紋,台灣,2024-05-31,
1062910,波紋,韓國,2025-01-15,
1062910,波紋,法國,2025-01-29,
1063554,4拍4家族,台灣,2023-11-10,
1063814,警賊黑白衝,韓國,2024-08-21,
1063814,警賊黑白衝,台灣,2024-09-13,
1063863,七月返歸,台灣,2024-02-07,
1064028,超完美家政婦,台灣,2024-09-13,
1064213,艾諾拉,法國,2024-10-30,
1064213,艾諾拉,美國,2024-11-01,2024-12-17
1064213,艾諾拉,韓國,2024-11-06,
1064213,艾諾拉,台灣,2024-12-06,
1064213,艾諾拉,澳洲,2024-12-26,
1064213,艾諾拉,印度,2025-02-21,
1064213,艾諾拉,日本,2025-02-28,
1064662,美麗的他電影版,日本,2023-04-07,
1064662,美麗的他電影版,台灣,2023-04-07,
1064662,美麗的他電影版,韓國,2023-07-12,
1064669,電影版 勿說是推理,日本,2023-09-15,
1064669,電影版 勿說是推理,台灣,2023-11-10,2024-05-31
1064669,電影版 勿說是推理,韓國,2024-11-27,
1064872,銀平町的電影時光,日本,2023-02-10,
1064872,銀平町的電影時光,台灣,2023-07-14,
1067298,冰淇淋般的愛戀,日本,2023-07-14,
1067298,冰淇淋般的愛戀,台灣,2023-09-28,
1068607,SSSS.DYNAZENON 劇場總集篇,日本,2023-03-10,
1069813,岸邊露伴在羅浮,日本,2023-05-26,
1069813,岸邊露伴在羅浮,台灣,2023-09-22,
1069813,岸邊露伴在羅浮,韓國,2024-08-01,
1070449,塞納河上的船屋,法國,2023-04-19,2023-08-29
1070449,塞納河上的船屋,台灣,2023-10-06,
1070449,塞納河上的船屋,美國,2024-03-29,
1070507,去唱卡拉OK吧！,日本,2024-01-12,2024-04-12
1070507,去唱卡拉OK吧！,台灣,2024-02-07,
1071215,恐怖感恩劫,澳洲,2023-11-17,
1071215,恐怖感恩劫,印度,2023-11-17,
1071215,恐怖感恩劫,台灣,2023-11-17,
1071215,恐怖感恩劫,美國,2023-11-17,2023-12-19
1071215,恐怖感恩劫,法國,2023-11-29,
1071215,恐怖感恩劫,日本,2023-12-29,
1072493,屍控大賣場,台灣,2024-04-26,
1072582,可恨的初戀！,台灣,2024-09-20,
1072742,那日清晨真令人感到空虛,日本,2023-12-01,
1072742,那日清晨真令人感到空虛,韓國,2024-05-29,
1072742,那日清晨真令人感到空虛,台灣,2024-05-31,
1072790,愛愛愛上你,美國,2023-12-22,2024-02-20
1072790,愛愛愛上你,澳洲,2023-12-26,
1072790,愛愛愛上你,印度,2024-01-19,
1072790,愛愛愛上你,法國,2024-01-24,
1072790,愛愛愛上你,台灣,2024-02-02,
1072790,愛愛愛上你,日本,2024-05-10,
1073449,厲嬰魂,台灣,2023-05-26,
1074034,火線埋伏,台灣,2023-03-03,
1074174,慾望的盡頭,日本,2023-05-06,
1075010,夢想紅舞鞋,澳洲,2023-04-06,
1075010,夢想紅舞鞋,台灣,2023-11-24,
1075175,非關性愛,法國,2023-11-15,
1075175,非關性愛,美國,2024-02-02,2024-04-05
1075175,非關性愛,澳洲,2024-02-14,
1075175,非關性愛,台灣,2024-04-26,
1075815,瓊拜雅：三重人格,台灣,2024-04-05,
1075815,瓊拜雅：三重人格,法國,2024-06-26,
1076011,情牽浮生戲,台灣,2023-12-29,
1076535,謎樣的你,日本,2023-04-14,
1077310,不能流淚的悲傷,台灣,2023-04-21,
1077310,不能流淚的悲傷,韓國,2023-10-11,
10775,無間道,台灣,2002-12-13,
10775,無間道,韓國,2003-02-21,
10775,無間道,日本,2003-10-11,2003-10-11
10775,無間道,澳洲,2004-01-01,
10775,無間道,法國,2004-09-01,
1077647,在水中,韓國,2023-04-12,
1077647,在水中,法國,2024-06-26,
1077693,虎紋少女,台灣,2023-10-27,2024-01-27
1077693,虎紋少女,法國,2024-03-13,
1078280,自戀男神,日本,2023-05-20,
1078374,愛的噩夢,台灣,2024-07-12,2024-12-30
