id,imdb_id,origin_country_first,runtime,budget,revenue
715253,tt25503544,KR,132,0,0
936243,tt27002199,KR,122,0,0
952476,tt27801630,KR,105,0,0
995063,tt26599543,KR,98,0,0
610249,tt24218390,KR,114,0,0
640327,tt15089904,KR,116,0,0
901121,tt21254598,KR,135,0,0
773910,tt24076346,KR,113,112,0
41245,tt0247613,KR,131,0,0
979688,None,KR,69,0,0
670,tt0364569,KR,120,3000000,17500000
1106528,tt28681454,KR,115,0,0
51550,tt0997157,JP,130,0,0
1166425,tt26569437,KR,191,0,0
978202,tt28625660,KR,118,4862154,0
4550,tt0451094,KR,115,0,23803308
923344,tt19820538,KR,138,0,1350266
30018,tt1216496,KR,129,5000000,17112713
636283,tt10925772,KR,76,0,0
1189165,None,KR,78,0,0
4689,tt0310775,KR,122,4000000,1954937
817485,tt14739128,KR,100,0,0
1106732,tt27410896,KR,81,0,0
42190,tt0348568,KR,133,0,0
956759,tt21190408,KR,93,0,0
1076443,tt26425683,KR,85,0,0
831480,tt15209608,KR,0,0,0
1156807,tt28544219,KR,102,0,0
1002470,tt21404804,KR,97,0,0
682109,None,KR,98,0,0
165213,tt2625030,KR,134,0,0
242452,tt3404140,KR,127,0,0
797787,tt14428606,TW,115,0,0
1077647,tt26448971,KR,61,0,0
22536,tt0762073,KR,134,5000000,13085023
62439,tt1848926,KR,111,0,0
717908,tt22774776,KR,108,0,0
637920,tt10431500,TR,132,10000000,28000000
128246,tt2315152,KR,122,0,0
973778,tt21810682,GB,101,10000000,604830
938250,tt18235146,FR,110,0,0
1075010,tt14838460,AU,111,0,0
958279,tt17679584,FR,122,0,0
582,tt0405094,DE,137,2000000,77672685
910365,tt14321668,DE,107,0,0
925341,tt13453138,DE,99,0,0
