MovieId,Publisher_name
29007,CONTENTS PANDA
26368,CS PRODUCTION
28166,CULTURE ENTERTAINMENT CO
23401,CULTURE ENTERTAINMENT CO.  LTD.
23639,CULTURE ENTERTAINMENT CO.  LTD.
27523,CULTURE ENTERTAINMENT CO.  LTD.
20489,Carlotta Films
29605,Castelao Pictures
24051,Castelao Pictures
22893,Castelao Pictures
20124,Celluloid Dreams SARL
24515,Celluloid Dreams SAS
26313,Celluloid Dreams SAS
24497,Celluloid Dreams SAS
22524,Central Partnerhsip Sales House LCC
21173,Central Partnership Sales House
19136,Central Partnership Sales House
22523,Cercamon MFZE
21356,Charades
24117,Charades
23548,Charades 
24066,Children's Town Limited.
25148,Choirock Contents Company Co.  Ltd.
18829,Choirock Contents Company Co. Ltd.
27548,Cinecittà S.p.A.
27989,Cinema Inutile
28363,Cinema Inutile
26750,Cinema Management Group
28083,Cinema Management Group  LLC
21528,Cinema Management Group LLC
20729,Cinephil
18785,Cinephil-Philippa Kowarsky Productions Ltd
3955,Cinémathèque Filmarchief
27047,Clover Films
27172,Cornerstone Films Ltd
21906,Creation Stories Limited
26751,CyberAgent  Inc.
26751,Cygames  Inc.
23637,DENTSU PROMOTION PLUS INC.
23638,DENTSU PROMOTION PLUS INC.
29093,DHARMA PRODUCTIONS
23121,DMM.com LLC
28159,DMM.com LLC 	 
25990,DOGWOOF LTD
27840,DOGWOOF LTD
28778,DOGWOOF LTD
28082,DR Sales
27109,DR Sales
29011,Deckert Distribution GmbH 
27414,Dentsu Anime Solutions Inc.
28826,Dentsu Anime Solutions lnc.
28840,Dentsu Anime Solutions lnc. 	 
27007,Dentsu Tec Inc.
28761,Deux Dames Entertainment
20674,Distribution Workshop (BVI) Limited
22309,Docs
28108,ELIZABETH PRODUCTIONS LIMITED
18268,ELLE DRIVER
24045,ELLE DRIVER
24063,ELLE DRIVER SAS
20873,ELLE DRIVER SAS
27873,ELYSIÜM CINÉ
18456,EMBANKMENT FILMS LIMITED
26339,EMBANKMENT FILMS LIMITED
17975,EMBANKMENT FILMS LIMITED
27512,EMBANKMENT FILMS LIMITED
29065,EPIC PICTURES GROUP  INC. 
26367,EPILEPTIC
29086,EST N8 LLC
26872,EURIMAGES
25631,EYRIE ENTERTAINMENT GmbH
20363,Elle Driver
24467,Embankment Films Ltd.
24053,Enjoy TV Holding Sdn. Bhd
29573,Epic Records Japan Inc.
29616,Ergis film Productions
21031,Error 404 Productions
21994,Essen.Communications Inc.
28404,EuropaCorp
20652,Evrit Consulting Kft.
20867,Exocorpus Productions
19601,FGD Movie Inc.
21821,FILM
27522,FILM 
25177,FILM BOUTIQUE SAS
21221,FILM CONSTELLATION LTD.
24094,FILM CONSTELLATION LTD.
26148,FILM CONSTELLATION LTD.
24256,FILM CONSTELLATION SAS
29064,FILM FACTORY ENTERTAINMENT
20596,FILM FACTORY ENTERTAINMENT
23560,FILM FACTORY ENTERTAINMENT
19857,FILM FACTORY ENTERTAINMENT
23122,FILM FACTORY ENTERTAINMENT
21352,FILM FACTORY ENTERTAINMENT
18826,FILM FOUR LIMITED
26872,FILM FUND LUXEMBOURG
24951,FILMS BOUTIQUE SAS
23887,FILMS BOUTIQUE SAS
20962,FILMS BOUTIQUE SAS
5183,FILMS DISTRIBUTION
27552,FILMS SANS FRONTIERES
25242,FINECUT
23146,FINECUT CO.  LTD
27763,FINECUT CO.  LTD.
9051,FINECUT CO.  LTD.
24842,FINECUT CO.  LTD.
29371,FINECUT CO.  LTD.
28490,FINECUT CO.  LTD.
26806,FINECUT CO.  LTD.
28475,FINECUT CO.  LTD.
20942,FINECUT CO. LTD
18516,FINECUT CO. LTD
20633,FINECUT CO. LTD.
20555,FINECUT CO. LTD.
18817,FINECUT CO. LTD.
24542,"FINECUT CO., LTD."
24201,"FINECUT CO., LTD."
22117,FIREBIRD PRODUCTION LIMITED
27873,FIXAFILM
22879,FLAMING DEVILS  LLC
13268,FONDAZIONE CINETECA DI BOLOGNA
3033,FORTISSIMO AMSTERDAM B.V
20741,FORTUNE STAR MEDIA LIMITED
20697,FORTUNE STAR MEDIA LIMITED
20763,FORTUNE STAR MEDIA LIMITED
20702,FORTUNE STAR MEDIA LIMITED
20451,FRANCE TELEVISIONS DISTRIBUTION
27603,FRANCE TELEVISIONS DISTRIBUTION
24284,FRANCE TELEVISIONS DISTRIBUTION
20177,FREANCE TELEVISIONS DISTRIBUTION
19690,FREEWAY ENTERTAINMENT KFT.
20528,FREEWAY ENTERTAINMENT KFT.
26682,FUJI CREATIVE CORPORATION
19788,FUJI CREATIVE CORPORATION
27491,FUJI CREATIVE CORPORATION
26122,FUJI CREATIVE CORPORATION
26949,FUJI CREATIVE CORPORATION
7310,FUNNY BALLOONS
24254,FUNNY BALLOONS
22020,FURYU CORPORATION
20143,Fandom Holdings LLC.
25827,Fandom Holdings LLC.
18693,Fandom Holdings LLC.
27178,Fantawild Animation Inc.
20941,Festimania Pictures SL
29188,Film 
26515,Film Constellation Ltd.
25130,Film Constellation SAS
26149,Film Factory Entertainment
25101,Film Factory Entertainment
23858,Film Factory Entertainment S.L.
24105,Film Mode Entertainment
20827,Film Republic Sales Ltd
28363,Films de Force Majeure
21165,Films de Force Majeure
26307,Filmtank Berlin
29099,Finecut Co.  Ltd.
21045,First Hand Films
24833,"Five Star Production Co.,Ltd."
21210,Five Star Production Company Limited
20740,Flying Clound Production Inc.
20671,Fortune Star Media Limited
25393,Frame of Mind Dilms  Inc
21717,France Televisions Distribution
22881,Free Stone Productions Co.  Ltd.
22508,Free Stone Productions Co.  Ltd.
20993,Free Stone Productions Co. LTD.
26388,Free Stone Productions Co. Ltd.
20951,Free Stone Productions Co. Ltd.
20235,Freeway Entertainment Kft.
24662,Freeway Entertainment Kft.
24108,Fuji Creative Corporation
22378,Fuji Creative Corporation
20865,Fuji Creative Corporation
28271,Funny Flux Co.  Ltd.
19357,G.H.Y. Culture 
24112,GAGA CORPORATION
27375,GAGA CORPORATION
23700,GAGA CORPORATION
21624,GAGA Corporation
22503,GAGA Corporation
28356,GAGA Corporation
21382,GAGA Corporation
21354,GAGA Corporation
20529,GAGA Corporation
29623,GAGA Corporation 
28178,GAGA Corporation.
27938,GAGA Corporstion
27958,GAGA Corporstion 	  	 
26656,GAUMONT
20485,GAUMONT S.A
21809,GAUMONT S.A.
27964,GAUMONT S.A.
20399,GAUMONT S.A.
6210,GAUMONT S.A.
27654,GDH 559 CO.  LTD.
24311,GDH 559 COMPANY LIMITED
29063,GDH 559 COMPANY LIMITED
25777,GDH 559 COMPANY LIMITED
29610,GDH 559 COMPANY LIMITED
22115,GEM ENTERTAINMENT KFT.
29716,GEM ENTERTAINMENT KFT.
24189,GEM ENTERTAINMENT KFT.
18014,GEM ENTERTAINMENT KFT.
22963,GEM ENTERTAINMENT KFT.
20929,GEM ENTERTAINMENT KFT.
27813,GEM Entertainment Kft.
23861,GEM Entertainment Kft.
25349,GEM Entertainment Kft.
27045,GEM Entertainment Kft.
26842,GEM Entertainment Kft.
23888,GEM Entertainment Kft. 
28527,GFM Animation
28213,GFM Animation
28176,GFM Animation Limited
20693,GFM FILMS LLP
26368,GLADYS GLOVER
