person_id,gender_id,person_name,person_original_name,known_for_department,data_created_time,data_updated_time
98415,1,Nika King,Nika King,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1280476,1,Doria Tillier,Doria Tillier,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1997030,1,Halsey,Halsey,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4004860,1,Siran Riak,Siran Riak,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3947368,1,Denise Jelilcha Kapaun,Denise Jelilcha Kapaun,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
29369,1,Melanie Griffith,Melanie Griffith,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1453008,2,Monster Wen,Monster Wen,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
96592,2,Manuel Tadros,Manuel Tadros,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3928684,2,Jay Victor,Jay Victor,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4757,2,Rupert Everett,Rupert Everett,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3888559,2,Yim Seung-min,임승민,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1297520,2,Wang Qingxiang,王庆祥,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1387126,2,Teo Yoo,유태오,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1247,2,Matthew Goode,Matthew Goode,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
8595,2,Alexandre Rodrigues,Alexandre Rodrigues,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
12270,2,Michel Serrault,Michel Serrault,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2116932,2,Tenzing Dalha,Tenzing Dalha,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3836,2,Roger Hanin,Roger Hanin,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1118107,2,Pietro Castellitto,Pietro Castellitto,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
23789,2,Sebastian Roché,Sebastian Roché,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1270438,2,Hero Tai,Hero Tai,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
23498,2,Alexander Ludwig,Alexander Ludwig,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3005649,2,Jeong Jae-seong,정재성,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
62447,2,Samir Guesmi,Samir Guesmi,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
15455,2,Tate Donovan,Tate Donovan,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1818017,2,Valentin Postlmayr,Valentin Postlmayr,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1095818,2,Lee Jong-suk,이종석,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4796,2,Alexander Beyer,Alexander Beyer,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1338063,2,Huang Zhizhong,黄志忠,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
206919,2,Daniel Kaluuya,Daniel Kaluuya,Acting,2025-03-02 09:35:42.269341+00:00,2025-03-04 07:00:03.914845+00:00
29234,2,Joe Anderson,Joe Anderson,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1085618,2,Anthony Shim,Anthony Shim,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2563029,2,Matthew Finlan,Matthew Finlan,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3582598,2,Marc Soler,Marc Soler Rull,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
74957,2,Andre Royo,Andre Royo,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
229752,2,Baek Yoon-sik,백윤식,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3724264,2,Oliver McCallum,Oliver McCallum,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
20212,2,Dermot Mulroney,Dermot Mulroney,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1151244,2,Anatoly Kot,Анатолий Кот,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
146817,2,Kento Hayashi,林遣都,Acting,2025-03-02 09:35:42.269341+00:00,2025-03-04 07:00:03.914845+00:00
17142,2,Paul Dano,Paul Dano,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
63442,2,Cha Tae-hyun,차태현,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3186384,2,Guntapat Kasemsan Na Ayudhya,กันตพัฒน์ เกษมสันต์ ณ อยุธยา,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1290336,2,Yoshi Sakō,酒向芳,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1255141,2,Lo Pei-An,羅北安,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
7707,2,Libero De Rienzo,Libero De Rienzo,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1624033,2,Bruce Khan,브루스 칸,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
528339,2,Oh Kwang-rok,오광록,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3778996,2,Daniel Rived,Daniel Rived,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
