tw_id,tw_title,tmdb_id,imdb_id,production_country,tw_first_release_date,budget,global_revenue,movie_runtime,data_created_time,data_updated_time
28302,流氓驅魔師,1280832,tt32277855,新加坡,2024-09-20 00:00:00,0,0,104,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28456,薩滿男孩,730256,tt27816866,蒙古,2024-09-27 00:00:00,0,0,104,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24253,鷹勇潛艦,611854,tt4741504,波蘭,2023-05-19 00:00:00,3100000,196401,104,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
19764,忍者寶寶,654074,tt13821562,挪威,2022-01-14 00:00:00,0,0,104,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29093,殺,1160018,tt28259207,印度,2024-11-22 00:00:00,4800000,5600000,105,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
18318,南巫,759524,tt13212046,馬來西亞,2021-04-01 00:00:00,0,0,105,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29155,罪惡對決,1027073,tt15782690,愛爾蘭,2024-11-02 00:00:00,0,0,106,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21626,野蠻人入侵,796151,tt14760842,馬來西亞,2022-07-15 00:00:00,0,0,106,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25359,尋父冒險記,1005141,tt19783714,烏克蘭,2023-11-10 00:00:00,750000,904000,106,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29400,魔法小紅書,1333099,tt9881850,阿根廷,2025-01-10 00:00:00,0,0,106,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24088,地中海發燒友,958291,tt19785426,巴勒斯坦,2023-04-21 00:00:00,0,0,108,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22877,星夢性快感,592695,tt8550054,瑞典,2022-11-11 00:00:00,1800000,393824,108,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21221,鬼雙胞,477462,tt12390572,芬蘭,2022-05-20 00:00:00,2620000,492000,109,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
16189,不丹是教室,627087,tt10189300,不丹,2020-07-10 00:00:00,0,0,109,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21045,阿哈：帶我走,655738,tt10851414,瑞士,2022-05-13 00:00:00,0,0,109,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27645,催眠,68477,tt0228807,挪威,2024-08-23 00:00:00,0,0,110,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20903,天堂電影院,821494,tt9681686,印度,2022-04-15 00:00:00,2000000,0,110,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26384,阿爾及爾的末代王后,958161,tt18039808,阿爾及利亞,2023-11-24 00:00:00,0,0,110,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26803,踹你死功夫,1050904,tt20420790,愛沙尼亞,2024-05-24 00:00:00,2900000,14861,110,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
19991,花果飄零,889507,tt15575176,澳洲,2022-03-04 00:00:00,0,0,110,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26127,餓之必要,938250,tt18235146,澳洲,2023-12-22 00:00:00,0,0,110,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24494,永遠的好麻吉,872556,tt15386680,印度,2023-07-28 00:00:00,0,0,111,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27234,不丹沒有槍,1109237,tt15560314,不丹,2024-04-25 00:00:00,0,0,111,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24105,神鬼聖戰,296271,tt9663168,捷克,2023-05-12 00:00:00,0,0,111,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26208,夢想紅舞鞋,1075010,tt14838460,澳大利亞,2023-11-24 00:00:00,0,0,111,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26147,無法融化的祕密,923387,tt7636728,比利時,2024-04-12 00:00:00,0,0,111,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27070,超危險警探,978592,tt8542964,澳洲,2024-04-03 00:00:00,0,0,112,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26387,我不是教你詐,1137196,tt27996716,保加利亞,2024-01-19 00:00:00,0,0,114,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23516,束縛,888321,tt11992694,奧地利,2023-02-10 00:00:00,7580600,3092534,114,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20414,反恐行動：獨立日,655302,tt11636880,芬蘭,2022-02-18 00:00:00,8476000,0,115,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20652,懾影屍,655363,tt9834506,匈牙利,2022-06-02 00:00:00,0,0,115,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
26140,富都青年,1027982,tt27445004,馬來西亞,2023-12-01 00:00:00,653000,1363827,115,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27944,農民：愛慾情謎,734002,tt10651230,波蘭,2024-08-02 00:00:00,7475000,10064347,115,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23488,萬惡世代,782044,tt13419036,立陶宛,2023-01-27 00:00:00,0,0,115,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25182,五月雪,973587,tt28449053,馬來西亞,2023-11-11 00:00:00,0,0,116,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21706,朵貝的愛情繪本,608232,tt11007444,芬蘭,2022-07-15 00:00:00,4243000,0,116,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
20556,愛你讓我自由,835975,tt14775784,奧地利,2022-03-25 00:00:00,0,218511,116,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28207,十字路口的豬,1287986,tt32547207,不丹,2024-10-25 00:00:00,0,0,117,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22265,詭孩,660942,tt4028464,挪威,2022-10-28 00:00:00,3400000,322000,117,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29372,你是我眼中的那道光,927547,tt32086077,印度,2024-12-27 00:00:00,0,3010117,118,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29086,草迷宮恐怖殺人事件,1327383,tt31710879,菲律賓,2024-11-01 00:00:00,0,0,119,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27046,禁忌之慾,1017066,tt21249656,波蘭,2024-04-12 00:00:00,0,2318915,119,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25862,折翼姊妹,1030991,tt22489308,菲律賓,2023-11-03 00:00:00,0,0,120,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29157,再見了！茱莉亞,1111750,tt14330672,蘇丹,2024-12-13 00:00:00,0,0,120,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28987,惡夢偵相,772450,tt14212142,墨西哥,2024-10-18 00:00:00,0,0,120,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
25081,人類之巔3,951048,tt28293875,斯里蘭卡,2024-07-22 00:00:00,0,0,121,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23565,開羅謀殺案,788977,tt15452062,瑞典,2023-01-07 00:00:00,7047000,3646605,121,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23887,雙手的溫柔,958279,tt17679584,摩洛哥,2023-06-16 00:00:00,0,0,122,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21362,霧中風景,47795,tt0096288,希臘,2022-06-03 00:00:00,0,0,125,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
18826,革命前夕的摩托車日記,1653,tt0318462,阿根廷,2005-02-25 00:00:00,0,57663224,126,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22707,仇恨謎林,919570,tt18550182,羅馬尼亞,2023-02-10 00:00:00,0,450255,127,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
18257,波斯語課,581577,tt9738784,白俄羅斯,2021-03-26 00:00:00,0,3825668,127,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24094,愛情美樂地,962571,tt19719976,巴基斯坦,2023-02-17 00:00:00,0,1200000,127,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21366,希臘二部曲：時光灰燼,51735,tt0765442,希臘,2022-05-28 00:00:00,0,0,128,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23886,炎日,682152,tt14859416,土耳其,2023-05-12 00:00:00,0,0,131,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
28219,小孩不笨3,1287250,tt32363253,新加坡,2024-09-03 00:00:00,0,0,132,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23193,無法無天,598,tt0317248,巴西,2022-12-10 00:00:00,3300000,30641770,135,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21528,拜金女王的性愛派對,881764,tt11871074,波蘭,2022-06-24 00:00:00,0,0,136,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
27047,錢不夠用3：全部夠用,1238576,tt29383540,新加坡,2024-04-30 00:00:00,2000000,0,138,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
21360,塞瑟島之旅,47792,tt0088241,希臘,2022-05-29 00:00:00,0,0,139,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
24867,神選之地,960206,tt19623228,冰島,2023-08-25 00:00:00,5000000,1560518,143,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
29524,香巴拉,1234593,tt30804400,尼泊爾,2025-01-10 00:00:00,0,0,150,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
22895,喬治亞天空下 ,795815,tt14035154,喬治亞,2022-11-18 00:00:00,0,24862,150,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
23828,幸運狗狗來造訪,634120,tt7466810,印度,2023-07-20 00:00:00,0,0,166,2025-03-02 01:08:54.339400+00:00,2025-03-02 16:42:24.139881+00:00
