tmdb_id,person_id,data_created_time,data_updated_time
977156,1254059,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
977156,587677,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
977156,3253118,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
977156,2235946,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1004682,1523704,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1016737,129616,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1016737,1841831,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1016737,1598161,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1016737,1587614,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1016737,2041126,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1027867,2624789,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1027867,1798978,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1027867,1813999,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1027867,938138,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1027867,2238411,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1033667,2836867,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1033667,2681904,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1033667,1261061,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1033667,1081519,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1033667,1587299,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1074049,3006821,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1074049,85559,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1074049,16980,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1074049,114463,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1074049,2564672,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1084742,1168934,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1084742,146817,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1084742,109662,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1084742,115647,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1084742,938138,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1106501,1256488,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1106501,1191711,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1106501,2791224,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1106501,564846,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
1106501,1164503,2025-03-02 09:32:50.854387+00:00,2025-03-02 09:32:50.854387+00:00
