tw_id,tw_release_days,reference_year_amount,reference_year_tickets,reference_year,data_created_time,data_updated_time
20293,4,8265,42,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23342,4,237720,329,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18816,4,3850,35,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23114,5,116370,214,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21171,5,112879,401,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21155,5,4762,20,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23321,5,1477019,6248,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
22756,5,51280,291,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
17831,6,410,2,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23190,6,3430,15,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21036,6,4090,36,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21041,6,6110,56,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20054,6,9710,42,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
10963,6,19250,82,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19308,6,4310,83,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18306,6,2345,10,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20193,6,24240,114,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23355,6,26462686,106226,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20941,7,13030,68,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20928,7,5085,22,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20410,7,5470,25,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20803,7,31110,130,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
18824,7,14680,162,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19205,7,10560,66,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23218,7,5625,27,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21423,7,2470,11,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
20125,7,9160,36,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
19065,8,185140,827,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23262,8,71549,322,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23198,9,178610,745,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23311,9,326448,1424,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23362,9,1695300,7083,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23364,9,427653,1952,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23390,9,487909,2093,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
21037,9,3595,37,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23365,9,7372453,28973,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
23192,9,208026,911,2022-01-01 00:00:00,2025-03-02 02:25:52.457416+00:00,2025-03-02 09:35:28.937665+00:00
