tmdb_id,release_country_code,type_release_date,release_type_id,release_country_name,release_type_note,data_created_time,data_updated_time
771077,AU,2022-03-02,1,澳洲,French Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
698687,AU,2024-09-11,1,澳洲,"Sydney, New South Wales",2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
976581,AU,2023-11-10,1,澳洲,Melbourne Queer Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
976581,AU,2023-08-14,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
876127,AU,2024-08-24,1,澳洲,Korean Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1029475,AU,2024-06-05,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
927547,AU,2024-10-26,1,澳洲,Brisbane International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
766798,AU,2021-11-12,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1160018,AU,2024-06-14,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
935906,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1050035,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1026227,AU,2024-06-07,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
608980,AU,2021-08-15,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
933785,AU,2023-07-23,1,澳洲,Taiwan Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
915935,AU,2023-06-15,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
803700,AU,2022-08-14,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
666277,AU,2023-06-09,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
714651,AU,2024-08-25,1,澳洲,Korean Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
