Year,MovieId,Name,id,imdb_id,runtime,budget,revenue,production_country,tw_first_release_date
2022,22651,天劫高手,842942,tt9853500,126,0,0,美國,2022-10-14
2022,20659,絕命通話,764835,tt13133936,84,0,0,美國,2022-03-11
2022,17499,說不出的告別,536396,tt8717446,97,0,0,美國,2020-11-27
2022,20660,貝爾法斯特,777270,tt12789558,98,11000000,49158343,美國,2022-03-11
2022,20235,黑特冤家,603661,tt8718158,102,0,0,美國,2022-02-11
2022,22679,驚爆倒數60分鐘,888195,tt15690300,99,0,0,美國,2022-10-14
2022,20363,看不見的殺機,825808,tt11209212,92,0,55191,美國,2022-01-07
2022,22963,絕命線阱,979924,tt14824590,104,0,0,美國,2022-11-04
2022,21033,驅神,836225,tt10362566,98,1500000,0,美國,2022-07-08
2022,20528,逍遙上路,626735,tt11252248,101,20000000,84774243,美國,2022-02-18
2022,6252,八月三十一日，我在奧斯陸,75233,tt1736633,94,0,1481665,美國,2013-05-31
2022,23128,俠探特攻：全面追緝,1024546,tt21435436,105,0,95244,美國,2022-11-25
2022,20554,終極堡壘,826749,tt14577300,100,20000000,52169,美國,2022-03-18
2022,20472,終極攻佔,718949,tt10957044,96,0,0,美國,2022-02-04
2022,18735,金甲部隊,600,tt0093058,116,30000000,46357676,美國,2022-08-26
2022,19690,地球重生,760873,tt6506264,104,0,328914,美國,2022-02-11
2022,18693,獵殺戰場,733317,tt6456326,132,1900000,0,美國,2022-03-18
2022,19241,生命理賠師,649394,tt8009744,118,0,106645,美國,2022-03-04
2022,23286,俠探特攻：贖罪行動,1035803,tt22394694,93,0,192939,美國,2022-12-09
2022,20848,玩命獵殺,628878,tt4029412,100,0,0,美國,2022-04-08
2022,20143,完美的敵人,655917,tt9421200,89,0,0,美國,2022-02-18
2022,21306,大開眼戒,345,tt0120663,159,65000000,162100000,美國,2022-09-08
2022,21388,午後彌撒 ,423333,tt11389748,111,0,131357,美國,2022-06-17
2022,20211,危城行動,762433,tt13432484,85,0,0,美國,2022-01-07
2022,20713,劫獄救援,818192,tt11388416,111,12400000,0,美國,2022-03-18
2022,20861,終極交戰,864116,tt14412366,101,98616,0,美國,2022-09-08
2022,18707,齊瓦哥醫生,907,tt0059113,200,11000000,111858363,美國,2022-10-05
2022,20681,全面掃蕩,689700,tt10023022,93,0,0,美國,2022-03-18
2022,23311,朝聖之路：聖雅各,59468,tt1441912,128,0,13900000,美國,2022-12-23
2022,20561,詭謎藏,801271,tt7975192,84,0,0,美國,2022-04-01
2022,21802,殺戮基地,848123,tt13918550,99,0,0,美國,2022-07-29
2022,19475,爽賺姐妹,628914,tt9054192,110,7000000,0,美國,2021-10-22
2022,20458,情聖西哈諾,730047,tt12889404,122,20000000,3000000,美國,2022-02-25
2022,19601,四個好日子,641960,tt10344522,100,0,843965,美國,2021-10-08
2022,20736,心碎效應,844398,tt14923008,92,0,0,美國,2022-09-23
2022,19921,蘿莉塔,9769,tt0119558,153,62000000,1100000,美國,2022-06-17
2022,20930,終極夜路,916821,tt14174168,97,0,0,美國,2022-06-02
2022,20809,終極包圍戰,766907,tt13496236,91,0,0,美國,2022-04-08
2022,20560,通靈女校,641668,tt11188624,92,0,0,美國,2022-03-04
2022,21180,進擊的地才,821427,tt11131464,94,0,24322,美國,2022-06-03
2022,20217,終極狩獵團,763164,tt13265876,108,0,0,美國,2022-01-14
2022,20992,公共圖書館員,331986,tt3294746,122,0,0,美國,2022-05-20
2022,21172,最後的生存者,789171,tt13889602,98,0,0,美國,2022-05-20
2022,23014,鱷魚歌王,830784,tt14668630,106,50000000,104088441,美國,2022-11-04
2022,22714,終極堡壘2,883502,tt14577304,87,22000000,69075,美國,2022-10-21
2022,20486,BJ單身日記,634,tt0243155,100,25000000,281929795,美國,2022-02-11
2022,19318,美國舞孃,10802,tt0114436,131,45000000,20350754,美國,2022-07-01
2022,19383,異類崛起,850099,tt4940336,109,0,0,美國,2021-09-24
2022,20384,魔境夢遊,12155,tt1014759,110,200000000,1025467110,美國,2021-06-18
2022,20192,殲獄行動,811592,tt14199590,97,0,29439,美國,2021-12-24
2022,22959,貓爸爸們,896689,tt10968602,89,0,0,美國,2022-11-25
2022,21035,超級救援狗,577721,tt5629084,45,0,0,美國,2023-12-15
2022,14586,為所應為,925,tt0097216,120,6500000,37300000,美國,2022-10-24
2022,23288,海底世界(國語版),1306218,,29,0,0,美國,2022-12-05
2022,23217,高原上的家屋,913820,tt10984580,88,0,52793,玻利維亞,2022-12-16
2022,1691,地下社會,11902,tt0114787,170,14000000,0,南斯拉夫,2015-05-15
2022,18745,鬼保母,575088,tt8006374,96,0,1398488,俄羅斯,2022-01-07
2022,20692,絕命第19排,659384,tt12036270,77,0,0,俄羅斯,2022-03-11
2022,19136,致命最前線,579831,tt12216986,130,0,0,俄羅斯,2022-01-14
2022,21173,逃出封鎖線,597859,tt14303882,105,0,0,俄羅斯,2022-05-20
2022,18792,心悸效應,575072,tt10933000,90,0,0,俄羅斯,2021-09-10
2022,22404,大尉叛逃記,818621,tt13322726,125,0,0,俄羅斯,2022-10-21
2022,22524,獵空計畫,818415,tt15815090,110,0,0,俄羅斯,2022-11-04
2022,20568,核爆車諾比,589761,tt10648714,136,9100000,6459306,俄羅斯,2022-04-22
2022,5643,鏡子,1396,tt0072443,106,825000,124367,俄羅斯,2017-06-19
2022,5666,潛行者,1398,tt0079944,162,120000,0,俄羅斯,2017-06-26
